No.,図形名,文字,UCS,文字,代替変換区分
280,GJ000280,􀄗,,,3
281,GJ000281,􀄘,,,3
282,GJ000282,􀄙,,,3
283,GJ000283,􀄚,,,3
284,GJ000284,􀄛,,,3
285,GJ000285,􀄜,,,3
286,GJ000286,􀄝,U+891A,褚,1
287,GJ000287,􀄞,,,3
288,GJ000288,􀄟,,,3
289,GJ000289,􀄠,,,3
290,GJ000290,􀄡,,,3
291,GJ000291,􀄢,U+801C,耜,1
292,GJ000292,􀄣,,,3
293,GJ000293,􀄤,,,3
294,GJ000294,􀄥,,,3
295,GJ000295,􀄦,,,3
296,GJ000296,􀄧,,,3
297,GJ000297,􀄨,U+7A1C,稜,1
298,GJ000298,􀄩,,,3
299,GJ000299,􀄪,,,3
300,GJ000300,􀄫,,,3
301,GJ000301,􀄬,,,3
302,GJ000302,􀄭,,,3
303,GJ000303,􀄮,,,3
304,GJ000304,􀄯,,,3
305,GJ000305,􀄰,,,3
306,GJ000306,􀄱,,,3
307,GJ000307,􀄲,,,3
308,GJ000308,􀄳,,,3
309,GJ000309,􀄴,,,3
310,GJ000310,􀄵,,,3
311,GJ000311,􀄶,,,3
312,GJ000312,􀄷,,,3
313,GJ000313,􀄸,,,3
314,GJ000314,􀄹,,,3
315,GJ000315,􀄺,,,3
316,GJ000316,􀄻,U+7ADA,竚,1
317,GJ000317,􀄼,,,3
318,GJ000318,􀄽,,,3
319,GJ000319,􀄾,,,3
320,GJ000320,􀄿,U+7B51,筑,1
321,GJ000321,􀅀,,,3
322,GJ000322,􀅁,U+7BC9,築,1
323,GJ000323,􀅂,,,3
324,GJ000324,􀅃,,,3
325,GJ000325,􀅄,,,3
326,GJ000326,􀅅,,,3
327,GJ000327,􀅆,,,3
328,GJ000328,􀅇,,,3
329,GJ000329,􀅈,,,3
330,GJ000330,􀅉,,,3
331,GJ000331,􀅊,,,3
332,GJ000332,􀅋,,,3
333,GJ000333,􀅌,,,3
334,GJ000334,􀅍,U+5965,奥,2
335,GJ000335,􀅎,,,3
336,GJ000336,􀅏,,,3
337,GJ000337,􀅐,,,3
338,GJ000338,􀅑,,,3
339,GJ000339,􀅒,,,3
340,GJ000340,􀅓,,,3
341,GJ000341,􀅔,U+8A98,誘,1
342,GJ000342,􀅕,,,3
343,GJ000343,􀅖,,,3
344,GJ000344,􀅗,U+6240,所,1
345,GJ000345,􀅘,,,3
346,GJ000346,􀅙,,,3
347,GJ000347,􀅚,,,3
348,GJ000348,􀅛,,,3
349,GJ000349,􀅜,,,3
350,GJ000350,􀅝,,,3
351,GJ000351,􀅞,,,3
352,GJ000352,􀅟,,,3
353,GJ000353,􀅠,,,3
354,GJ000354,􀅡,,,3
355,GJ000355,􀅢,,,3
356,GJ000356,􀅣,U+268DD,𦣝,1
357,GJ000357,􀅤,,,3
358,GJ000358,􀅥,,,3
359,GJ000359,􀅦,,,3
360,GJ000360,􀅧,,,3
361,GJ000361,􀅨,,,3
362,GJ000362,􀅩,U+8362,荢,1
363,GJ000363,􀅪,,,3
364,GJ000364,􀅫,,,3
365,GJ000365,􀅬,U+8438,萸,1
366,GJ000366,􀅭,U+8292,芒,2
367,GJ000367,􀅮,U+8470,葰,1
368,GJ000368,􀅯,U+517C,兼,1
369,GJ000369,􀅰,,,3
370,GJ000370,􀅱,,,3
371,GJ000371,􀅲,U+9A30,騰,2
372,GJ000372,􀅳,,,3
373,GJ000373,􀅴,,,3
374,GJ000374,􀅵,,,3
375,GJ000375,􀅶,,,3
376,GJ000376,􀅷,,,3
377,GJ000377,􀅸,,,3
378,GJ000378,􀅹,,,3
379,GJ000379,􀅺,,,3
380,GJ000380,􀅻,,,3
381,GJ000381,􀅼,U+899A,覚,1
382,GJ000382,􀅽,,,3
383,GJ000383,􀅾,,,3
384,GJ000384,􀅿,,,3
385,GJ000385,􀆀,,,3
386,GJ000386,􀆁,,,3
387,GJ000387,􀆂,,,3
388,GJ000388,􀆃,,,3
389,GJ000389,􀆄,,,3
390,GJ000390,􀆅,,,3
391,GJ000391,􀆆,,,3
392,GJ000392,􀆇,,,3
393,GJ000393,􀆈,,,3
394,GJ000394,􀆉,,,3
395,GJ000395,􀆊,,,3
396,GJ000396,􀆋,,,3
397,GJ000397,􀆌,,,3
398,GJ000398,􀆍,,,3
399,GJ000399,􀆎,,,3
400,GJ000400,􀆏,,,3
401,GJ000401,􀆐,,,3
402,GJ000402,􀆑,,,3
403,GJ000403,􀆒,,,3
404,GJ000404,􀆓,,,3
405,GJ000405,􀆔,,,3
406,GJ000406,􀆕,,,3
407,GJ000407,􀆖,,,3
408,GJ000408,􀆗,,,3
409,GJ000409,􀆘,,,3
410,GJ000410,􀆙,U+9060,遠,1
411,GJ000411,􀆚,,,3
412,GJ000412,􀆛,,,3
413,GJ000413,􀆜,U+8FBA,辺,1
414,GJ000414,􀆝,,,3
415,GJ000415,􀆞,,,3
416,GJ000416,􀆟,,,3
417,GJ000417,􀆠,,,3
418,GJ000418,􀆡,,,3
419,GJ000419,􀆢,,,3
420,GJ000420,􀆣,,,3
421,GJ000421,􀆤,,,3
422,GJ000422,􀆥,,,3
423,GJ000423,􀆦,,,3
424,GJ000424,􀆧,,,3
425,GJ000425,􀆨,,,3
426,GJ000426,􀆩,,,3
427,GJ000427,􀆪,U+8212,舒,1
428,GJ000428,􀆫,U+97FF,響,1
